,Math,English,Science,History,Gender,Job,Handedness,Zodiac
DGM,red,black,green,blue,M,HA,,
RP,blue,red,green,yellow,F,AQ,R,virgo
SEA,red,yellow,green,blue,F,SAQ,R,
MJ,blue,red,green,yellow,F,HA,R,virgo
KL,red,purple,green,yellow,F,HA,R,leo
AW,purple,orange,blue,green,F,SAQ,,
SF,yellow,green,blue,red,F,HA,,
AUS,green,blue,yellow,purple,M,AQ,R,
CG,red,blue,green,yellow,F,HA,A,
AK,yellow,green,green,blue,F,AQ,R,
AP,red,blue,green,yellow,F,HA,R,
CB,red,white,green,blue,F,HA,R,
TZ,red,purple,green,yellow,F,HA,,
CAR,blue,magenta,green,yellow,F,AQ,R,cancer
AL,red,blue,green,yellow,F,AQ,R,
KD,red,blue,green,purple,F,HA,R,
DCK,red,blue,purple,yellow,F,RE,R,saggitarius
